# official checkpoint: /local/554122/ckpt/opv2v_zoo/cobevt_camera_dynamic/net_epoch91.pth
# 648 tensors, 27452686 parameters

encoder.encoder.conv1.weight	[64, 3, 7, 7]
encoder.encoder.bn1.weight	[64]
encoder.encoder.bn1.bias	[64]
encoder.encoder.bn1.running_mean	[64]
encoder.encoder.bn1.running_var	[64]
encoder.encoder.bn1.num_batches_tracked	[]
encoder.encoder.layer1.0.conv1.weight	[64, 64, 3, 3]
encoder.encoder.layer1.0.bn1.weight	[64]
encoder.encoder.layer1.0.bn1.bias	[64]
encoder.encoder.layer1.0.bn1.running_mean	[64]
encoder.encoder.layer1.0.bn1.running_var	[64]
encoder.encoder.layer1.0.bn1.num_batches_tracked	[]
encoder.encoder.layer1.0.conv2.weight	[64, 64, 3, 3]
encoder.encoder.layer1.0.bn2.weight	[64]
encoder.encoder.layer1.0.bn2.bias	[64]
encoder.encoder.layer1.0.bn2.running_mean	[64]
encoder.encoder.layer1.0.bn2.running_var	[64]
encoder.encoder.layer1.0.bn2.num_batches_tracked	[]
encoder.encoder.layer1.1.conv1.weight	[64, 64, 3, 3]
encoder.encoder.layer1.1.bn1.weight	[64]
encoder.encoder.layer1.1.bn1.bias	[64]
encoder.encoder.layer1.1.bn1.running_mean	[64]
encoder.encoder.layer1.1.bn1.running_var	[64]
encoder.encoder.layer1.1.bn1.num_batches_tracked	[]
encoder.encoder.layer1.1.conv2.weight	[64, 64, 3, 3]
encoder.encoder.layer1.1.bn2.weight	[64]
encoder.encoder.layer1.1.bn2.bias	[64]
encoder.encoder.layer1.1.bn2.running_mean	[64]
encoder.encoder.layer1.1.bn2.running_var	[64]
encoder.encoder.layer1.1.bn2.num_batches_tracked	[]
encoder.encoder.layer1.2.conv1.weight	[64, 64, 3, 3]
encoder.encoder.layer1.2.bn1.weight	[64]
encoder.encoder.layer1.2.bn1.bias	[64]
encoder.encoder.layer1.2.bn1.running_mean	[64]
encoder.encoder.layer1.2.bn1.running_var	[64]
encoder.encoder.layer1.2.bn1.num_batches_tracked	[]
encoder.encoder.layer1.2.conv2.weight	[64, 64, 3, 3]
encoder.encoder.layer1.2.bn2.weight	[64]
encoder.encoder.layer1.2.bn2.bias	[64]
encoder.encoder.layer1.2.bn2.running_mean	[64]
encoder.encoder.layer1.2.bn2.running_var	[64]
encoder.encoder.layer1.2.bn2.num_batches_tracked	[]
encoder.encoder.layer2.0.conv1.weight	[128, 64, 3, 3]
encoder.encoder.layer2.0.bn1.weight	[128]
encoder.encoder.layer2.0.bn1.bias	[128]
encoder.encoder.layer2.0.bn1.running_mean	[128]
encoder.encoder.layer2.0.bn1.running_var	[128]
encoder.encoder.layer2.0.bn1.num_batches_tracked	[]
encoder.encoder.layer2.0.conv2.weight	[128, 128, 3, 3]
encoder.encoder.layer2.0.bn2.weight	[128]
encoder.encoder.layer2.0.bn2.bias	[128]
encoder.encoder.layer2.0.bn2.running_mean	[128]
encoder.encoder.layer2.0.bn2.running_var	[128]
encoder.encoder.layer2.0.bn2.num_batches_tracked	[]
encoder.encoder.layer2.0.downsample.0.weight	[128, 64, 1, 1]
encoder.encoder.layer2.0.downsample.1.weight	[128]
encoder.encoder.layer2.0.downsample.1.bias	[128]
encoder.encoder.layer2.0.downsample.1.running_mean	[128]
encoder.encoder.layer2.0.downsample.1.running_var	[128]
encoder.encoder.layer2.0.downsample.1.num_batches_tracked	[]
encoder.encoder.layer2.1.conv1.weight	[128, 128, 3, 3]
encoder.encoder.layer2.1.bn1.weight	[128]
encoder.encoder.layer2.1.bn1.bias	[128]
encoder.encoder.layer2.1.bn1.running_mean	[128]
encoder.encoder.layer2.1.bn1.running_var	[128]
encoder.encoder.layer2.1.bn1.num_batches_tracked	[]
encoder.encoder.layer2.1.conv2.weight	[128, 128, 3, 3]
encoder.encoder.layer2.1.bn2.weight	[128]
encoder.encoder.layer2.1.bn2.bias	[128]
encoder.encoder.layer2.1.bn2.running_mean	[128]
encoder.encoder.layer2.1.bn2.running_var	[128]
encoder.encoder.layer2.1.bn2.num_batches_tracked	[]
encoder.encoder.layer2.2.conv1.weight	[128, 128, 3, 3]
encoder.encoder.layer2.2.bn1.weight	[128]
encoder.encoder.layer2.2.bn1.bias	[128]
encoder.encoder.layer2.2.bn1.running_mean	[128]
encoder.encoder.layer2.2.bn1.running_var	[128]
encoder.encoder.layer2.2.bn1.num_batches_tracked	[]
encoder.encoder.layer2.2.conv2.weight	[128, 128, 3, 3]
encoder.encoder.layer2.2.bn2.weight	[128]
encoder.encoder.layer2.2.bn2.bias	[128]
encoder.encoder.layer2.2.bn2.running_mean	[128]
encoder.encoder.layer2.2.bn2.running_var	[128]
