# reimpl: cobevtbench model=cobevt_camera_static dataset=opv2v_camera
# 627 tensors, 26323909 parameters

backbone.stem.0.weight	[64, 3, 7, 7]
backbone.stem.1.weight	[64]
backbone.stem.1.bias	[64]
backbone.stem.1.running_mean	[64]
backbone.stem.1.running_var	[64]
backbone.stem.1.num_batches_tracked	[]
backbone.layers.0.0.conv1.weight	[64, 64, 3, 3]
backbone.layers.0.0.bn1.weight	[64]
backbone.layers.0.0.bn1.bias	[64]
backbone.layers.0.0.bn1.running_mean	[64]
backbone.layers.0.0.bn1.running_var	[64]
backbone.layers.0.0.bn1.num_batches_tracked	[]
backbone.layers.0.0.conv2.weight	[64, 64, 3, 3]
backbone.layers.0.0.bn2.weight	[64]
backbone.layers.0.0.bn2.bias	[64]
backbone.layers.0.0.bn2.running_mean	[64]
backbone.layers.0.0.bn2.running_var	[64]
backbone.layers.0.0.bn2.num_batches_tracked	[]
backbone.layers.0.1.conv1.weight	[64, 64, 3, 3]
backbone.layers.0.1.bn1.weight	[64]
backbone.layers.0.1.bn1.bias	[64]
backbone.layers.0.1.bn1.running_mean	[64]
backbone.layers.0.1.bn1.running_var	[64]
backbone.layers.0.1.bn1.num_batches_tracked	[]
backbone.layers.0.1.conv2.weight	[64, 64, 3, 3]
backbone.layers.0.1.bn2.weight	[64]
backbone.layers.0.1.bn2.bias	[64]
backbone.layers.0.1.bn2.running_mean	[64]
backbone.layers.0.1.bn2.running_var	[64]
backbone.layers.0.1.bn2.num_batches_tracked	[]
backbone.layers.0.2.conv1.weight	[64, 64, 3, 3]
backbone.layers.0.2.bn1.weight	[64]
backbone.layers.0.2.bn1.bias	[64]
backbone.layers.0.2.bn1.running_mean	[64]
backbone.layers.0.2.bn1.running_var	[64]
backbone.layers.0.2.bn1.num_batches_tracked	[]
backbone.layers.0.2.conv2.weight	[64, 64, 3, 3]
backbone.layers.0.2.bn2.weight	[64]
backbone.layers.0.2.bn2.bias	[64]
backbone.layers.0.2.bn2.running_mean	[64]
backbone.layers.0.2.bn2.running_var	[64]
backbone.layers.0.2.bn2.num_batches_tracked	[]
backbone.layers.1.0.conv1.weight	[128, 64, 3, 3]
backbone.layers.1.0.bn1.weight	[128]
backbone.layers.1.0.bn1.bias	[128]
backbone.layers.1.0.bn1.running_mean	[128]
backbone.layers.1.0.bn1.running_var	[128]
backbone.layers.1.0.bn1.num_batches_tracked	[]
backbone.layers.1.0.conv2.weight	[128, 128, 3, 3]
backbone.layers.1.0.bn2.weight	[128]
backbone.layers.1.0.bn2.bias	[128]
backbone.layers.1.0.bn2.running_mean	[128]
backbone.layers.1.0.bn2.running_var	[128]
backbone.layers.1.0.bn2.num_batches_tracked	[]
backbone.layers.1.0.downsample.0.weight	[128, 64, 1, 1]
backbone.layers.1.0.downsample.1.weight	[128]
backbone.layers.1.0.downsample.1.bias	[128]
backbone.layers.1.0.downsample.1.running_mean	[128]
backbone.layers.1.0.downsample.1.running_var	[128]
backbone.layers.1.0.downsample.1.num_batches_tracked	[]
backbone.layers.1.1.conv1.weight	[128, 128, 3, 3]
backbone.layers.1.1.bn1.weight	[128]
backbone.layers.1.1.bn1.bias	[128]
backbone.layers.1.1.bn1.running_mean	[128]
