# reimpl: cobevtbench model=cobevt_lidar dataset=opv2v_lidar
# 195 tensors, 8235540 parameters

encoder.vfe.linear.weight	[64, 9]
encoder.vfe.norm.weight	[64]
encoder.vfe.norm.bias	[64]
encoder.vfe.norm.running_mean	[64]
encoder.vfe.norm.running_var	[64]
encoder.vfe.norm.num_batches_tracked	[]
encoder.backbone.blocks.0.block.0.weight	[64, 64, 3, 3]
encoder.backbone.blocks.0.block.1.weight	[64]
encoder.backbone.blocks.0.block.1.bias	[64]
encoder.backbone.blocks.0.block.1.running_mean	[64]
encoder.backbone.blocks.0.block.1.running_var	[64]
encoder.backbone.blocks.0.block.1.num_batches_tracked	[]
encoder.backbone.blocks.0.block.3.weight	[64, 64, 3, 3]
encoder.backbone.blocks.0.block.4.weight	[64]
encoder.backbone.blocks.0.block.4.bias	[64]
encoder.backbone.blocks.0.block.4.running_mean	[64]
encoder.backbone.blocks.0.block.4.running_var	[64]
encoder.backbone.blocks.0.block.4.num_batches_tracked	[]
encoder.backbone.blocks.0.block.6.weight	[64, 64, 3, 3]
encoder.backbone.blocks.0.block.7.weight	[64]
encoder.backbone.blocks.0.block.7.bias	[64]
encoder.backbone.blocks.0.block.7.running_mean	[64]
encoder.backbone.blocks.0.block.7.running_var	[64]
encoder.backbone.blocks.0.block.7.num_batches_tracked	[]
encoder.backbone.blocks.0.block.9.weight	[64, 64, 3, 3]
encoder.backbone.blocks.0.block.10.weight	[64]
encoder.backbone.blocks.0.block.10.bias	[64]
encoder.backbone.blocks.0.block.10.running_mean	[64]
encoder.backbone.blocks.0.block.10.running_var	[64]
encoder.backbone.blocks.0.block.10.num_batches_tracked	[]
encoder.backbone.blocks.1.block.0.weight	[128, 64, 3, 3]
encoder.backbone.blocks.1.block.1.weight	[128]
encoder.backbone.blocks.1.block.1.bias	[128]
encoder.backbone.blocks.1.block.1.running_mean	[128]
encoder.backbone.blocks.1.block.1.running_var	[128]
encoder.backbone.blocks.1.block.1.num_batches_tracked	[]
encoder.backbone.blocks.1.block.3.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.4.weight	[128]
encoder.backbone.blocks.1.block.4.bias	[128]
encoder.backbone.blocks.1.block.4.running_mean	[128]
encoder.backbone.blocks.1.block.4.running_var	[128]
encoder.backbone.blocks.1.block.4.num_batches_tracked	[]
encoder.backbone.blocks.1.block.6.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.7.weight	[128]
encoder.backbone.blocks.1.block.7.bias	[128]
encoder.backbone.blocks.1.block.7.running_mean	[128]
encoder.backbone.blocks.1.block.7.running_var	[128]
encoder.backbone.blocks.1.block.7.num_batches_tracked	[]
encoder.backbone.blocks.1.block.9.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.10.weight	[128]
encoder.backbone.blocks.1.block.10.bias	[128]
encoder.backbone.blocks.1.block.10.running_mean	[128]
encoder.backbone.blocks.1.block.10.running_var	[128]
encoder.backbone.blocks.1.block.10.num_batches_tracked	[]
encoder.backbone.blocks.1.block.12.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.13.weight	[128]
encoder.backbone.blocks.1.block.13.bias	[128]
encoder.backbone.blocks.1.block.13.running_mean	[128]
encoder.backbone.blocks.1.block.13.running_var	[128]
encoder.backbone.blocks.1.block.13.num_batches_tracked	[]
encoder.backbone.blocks.1.block.15.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.16.weight	[128]
encoder.backbone.blocks.1.block.16.bias	[128]
encoder.backbone.blocks.1.block.16.running_mean	[128]
encoder.backbone.blocks.1.block.16.running_var	[128]
encoder.backbone.blocks.1.block.16.num_batches_tracked	[]
encoder.backbone.blocks.2.block.0.weight	[256, 128, 3, 3]
encoder.backbone.blocks.2.block.1.weight	[256]
encoder.backbone.blocks.2.block.1.bias	[256]
encoder.backbone.blocks.2.block.1.running_mean	[256]
encoder.backbone.blocks.2.block.1.running_var	[256]
encoder.backbone.blocks.2.block.1.num_batches_tracked	[]
encoder.backbone.blocks.2.block.3.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.4.weight	[256]
encoder.backbone.blocks.2.block.4.bias	[256]
encoder.backbone.blocks.2.block.4.running_mean	[256]
encoder.backbone.blocks.2.block.4.running_var	[256]
encoder.backbone.blocks.2.block.4.num_batches_tracked	[]
encoder.backbone.blocks.2.block.6.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.7.weight	[256]
encoder.backbone.blocks.2.block.7.bias	[256]
encoder.backbone.blocks.2.block.7.running_mean	[256]
encoder.backbone.blocks.2.block.7.running_var	[256]
encoder.backbone.blocks.2.block.7.num_batches_tracked	[]
encoder.backbone.blocks.2.block.9.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.10.weight	[256]
encoder.backbone.blocks.2.block.10.bias	[256]
encoder.backbone.blocks.2.block.10.running_mean	[256]
encoder.backbone.blocks.2.block.10.running_var	[256]
encoder.backbone.blocks.2.block.10.num_batches_tracked	[]
encoder.backbone.blocks.2.block.12.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.13.weight	[256]
encoder.backbone.blocks.2.block.13.bias	[256]
encoder.backbone.blocks.2.block.13.running_mean	[256]
encoder.backbone.blocks.2.block.13.running_var	[256]
encoder.backbone.blocks.2.block.13.num_batches_tracked	[]
encoder.backbone.blocks.2.block.15.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.16.weight	[256]
encoder.backbone.blocks.2.block.16.bias	[256]
encoder.backbone.blocks.2.block.16.running_mean	[256]
encoder.backbone.blocks.2.block.16.running_var	[256]
encoder.backbone.blocks.2.block.16.num_batches_tracked	[]
encoder.backbone.deconvs.0.0.weight	[128, 64, 1, 1]
encoder.backbone.deconvs.0.1.weight	[128]
encoder.backbone.deconvs.0.1.bias	[128]
encoder.backbone.deconvs.0.1.running_mean	[128]
encoder.backbone.deconvs.0.1.running_var	[128]
encoder.backbone.deconvs.0.1.num_batches_tracked	[]
encoder.backbone.deconvs.1.0.weight	[128, 128, 2, 2]
encoder.backbone.deconvs.1.1.weight	[128]
encoder.backbone.deconvs.1.1.bias	[128]
encoder.backbone.deconvs.1.1.running_mean	[128]
encoder.backbone.deconvs.1.1.running_var	[128]
encoder.backbone.deconvs.1.1.num_batches_tracked	[]
encoder.backbone.deconvs.2.0.weight	[256, 128, 4, 4]
encoder.backbone.deconvs.2.1.weight	[128]
encoder.backbone.deconvs.2.1.bias	[128]
encoder.backbone.deconvs.2.1.running_mean	[128]
encoder.backbone.deconvs.2.1.running_var	[128]
encoder.backbone.deconvs.2.1.num_batches_tracked	[]
encoder.backbone.out.weight	[256, 384, 1, 1]
fuse.blocks.0.local.norm_attn.weight	[256]
fuse.blocks.0.local.norm_attn.bias	[256]
fuse.blocks.0.local.qkv.to_qkv.weight	[768, 256]
fuse.blocks.0.local.rel_pos_bias.table.weight	[2025, 8]
fuse.blocks.0.local.to_out.weight	[256, 256]
fuse.blocks.0.local.norm_mlp.weight	[256]
fuse.blocks.0.local.norm_mlp.bias	[256]
fuse.blocks.0.local.mlp.fc1.weight	[512, 256]
fuse.blocks.0.local.mlp.fc1.bias	[512]
fuse.blocks.0.local.mlp.fc2.weight	[256, 512]
fuse.blocks.0.local.mlp.fc2.bias	[256]
fuse.blocks.0.global_half.norm_attn.weight	[256]
fuse.blocks.0.global_half.norm_attn.bias	[256]
fuse.blocks.0.global_half.qkv.to_qkv.weight	[768, 256]
fuse.blocks.0.global_half.rel_pos_bias.table.weight	[2025, 8]
fuse.blocks.0.global_half.to_out.weight	[256, 256]
fuse.blocks.0.global_half.norm_mlp.weight	[256]
fuse.blocks.0.global_half.norm_mlp.bias	[256]
fuse.blocks.0.global_half.mlp.fc1.weight	[512, 256]
fuse.blocks.0.global_half.mlp.fc1.bias	[512]
fuse.blocks.0.global_half.mlp.fc2.weight	[256, 512]
fuse.blocks.0.global_half.mlp.fc2.bias	[256]
fuse.blocks.1.local.norm_attn.weight	[256]
fuse.blocks.1.local.norm_attn.bias	[256]
fuse.blocks.1.local.qkv.to_qkv.weight	[768, 256]
fuse.blocks.1.local.rel_pos_bias.table.weight	[2025, 8]
fuse.blocks.1.local.to_out.weight	[256, 256]
fuse.blocks.1.local.norm_mlp.weight	[256]
fuse.blocks.1.local.norm_mlp.bias	[256]
fuse.blocks.1.local.mlp.fc1.weight	[512, 256]
fuse.blocks.1.local.mlp.fc1.bias	[512]
fuse.blocks.1.local.mlp.fc2.weight	[256, 512]
fuse.blocks.1.local.mlp.fc2.bias	[256]
fuse.blocks.1.global_half.norm_attn.weight	[256]
fuse.blocks.1.global_half.norm_attn.bias	[256]
fuse.blocks.1.global_half.qkv.to_qkv.weight	[768, 256]
fuse.blocks.1.global_half.rel_pos_bias.table.weight	[2025, 8]
fuse.blocks.1.global_half.to_out.weight	[256, 256]
fuse.blocks.1.global_half.norm_mlp.weight	[256]
fuse.blocks.1.global_half.norm_mlp.bias	[256]
fuse.blocks.1.global_half.mlp.fc1.weight	[512, 256]
fuse.blocks.1.global_half.mlp.fc1.bias	[512]
fuse.blocks.1.global_half.mlp.fc2.weight	[256, 512]
fuse.blocks.1.global_half.mlp.fc2.bias	[256]
fuse.blocks.2.local.norm_attn.weight	[256]
fuse.blocks.2.local.norm_attn.bias	[256]
fuse.blocks.2.local.qkv.to_qkv.weight	[768, 256]
fuse.blocks.2.local.rel_pos_bias.table.weight	[2025, 8]
fuse.blocks.2.local.to_out.weight	[256, 256]
fuse.blocks.2.local.norm_mlp.weight	[256]
fuse.blocks.2.local.norm_mlp.bias	[256]
fuse.blocks.2.local.mlp.fc1.weight	[512, 256]
fuse.blocks.2.local.mlp.fc1.bias	[512]
fuse.blocks.2.local.mlp.fc2.weight	[256, 512]
fuse.blocks.2.local.mlp.fc2.bias	[256]
fuse.blocks.2.global_half.norm_attn.weight	[256]
fuse.blocks.2.global_half.norm_attn.bias	[256]
fuse.blocks.2.global_half.qkv.to_qkv.weight	[768, 256]
fuse.blocks.2.global_half.rel_pos_bias.table.weight	[2025, 8]
fuse.blocks.2.global_half.to_out.weight	[256, 256]
fuse.blocks.2.global_half.norm_mlp.weight	[256]
fuse.blocks.2.global_half.norm_mlp.bias	[256]
fuse.blocks.2.global_half.mlp.fc1.weight	[512, 256]
fuse.blocks.2.global_half.mlp.fc1.bias	[512]
fuse.blocks.2.global_half.mlp.fc2.weight	[256, 512]
fuse.blocks.2.global_half.mlp.fc2.bias	[256]
fuse.head_norm.weight	[256]
fuse.head_norm.bias	[256]
fuse.head_proj.weight	[256, 256]
fuse.head_proj.bias	[256]
head.cls_head.weight	[2, 256, 1, 1]
head.cls_head.bias	[2]
head.reg_head.weight	[14, 256, 1, 1]
head.reg_head.bias	[14]
