# reimpl: v2xvitbench model=v2xvit dataset=v2xset
# 281 tensors, 12701820 parameters

encoder.vfe.linear.weight	[64, 9]
encoder.vfe.norm.weight	[64]
encoder.vfe.norm.bias	[64]
encoder.vfe.norm.running_mean	[64]
encoder.vfe.norm.running_var	[64]
encoder.vfe.norm.num_batches_tracked	[]
encoder.backbone.blocks.0.block.0.weight	[64, 64, 3, 3]
encoder.backbone.blocks.0.block.1.weight	[64]
encoder.backbone.blocks.0.block.1.bias	[64]
encoder.backbone.blocks.0.block.1.running_mean	[64]
encoder.backbone.blocks.0.block.1.running_var	[64]
encoder.backbone.blocks.0.block.1.num_batches_tracked	[]
encoder.backbone.blocks.0.block.3.weight	[64, 64, 3, 3]
encoder.backbone.blocks.0.block.4.weight	[64]
encoder.backbone.blocks.0.block.4.bias	[64]
encoder.backbone.blocks.0.block.4.running_mean	[64]
encoder.backbone.blocks.0.block.4.running_var	[64]
encoder.backbone.blocks.0.block.4.num_batches_tracked	[]
encoder.backbone.blocks.0.block.6.weight	[64, 64, 3, 3]
encoder.backbone.blocks.0.block.7.weight	[64]
encoder.backbone.blocks.0.block.7.bias	[64]
encoder.backbone.blocks.0.block.7.running_mean	[64]
encoder.backbone.blocks.0.block.7.running_var	[64]
encoder.backbone.blocks.0.block.7.num_batches_tracked	[]
encoder.backbone.blocks.0.block.9.weight	[64, 64, 3, 3]
encoder.backbone.blocks.0.block.10.weight	[64]
encoder.backbone.blocks.0.block.10.bias	[64]
encoder.backbone.blocks.0.block.10.running_mean	[64]
encoder.backbone.blocks.0.block.10.running_var	[64]
encoder.backbone.blocks.0.block.10.num_batches_tracked	[]
encoder.backbone.blocks.1.block.0.weight	[128, 64, 3, 3]
encoder.backbone.blocks.1.block.1.weight	[128]
encoder.backbone.blocks.1.block.1.bias	[128]
encoder.backbone.blocks.1.block.1.running_mean	[128]
encoder.backbone.blocks.1.block.1.running_var	[128]
encoder.backbone.blocks.1.block.1.num_batches_tracked	[]
encoder.backbone.blocks.1.block.3.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.4.weight	[128]
encoder.backbone.blocks.1.block.4.bias	[128]
encoder.backbone.blocks.1.block.4.running_mean	[128]
encoder.backbone.blocks.1.block.4.running_var	[128]
encoder.backbone.blocks.1.block.4.num_batches_tracked	[]
encoder.backbone.blocks.1.block.6.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.7.weight	[128]
encoder.backbone.blocks.1.block.7.bias	[128]
encoder.backbone.blocks.1.block.7.running_mean	[128]
encoder.backbone.blocks.1.block.7.running_var	[128]
encoder.backbone.blocks.1.block.7.num_batches_tracked	[]
encoder.backbone.blocks.1.block.9.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.10.weight	[128]
encoder.backbone.blocks.1.block.10.bias	[128]
encoder.backbone.blocks.1.block.10.running_mean	[128]
encoder.backbone.blocks.1.block.10.running_var	[128]
encoder.backbone.blocks.1.block.10.num_batches_tracked	[]
encoder.backbone.blocks.1.block.12.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.13.weight	[128]
encoder.backbone.blocks.1.block.13.bias	[128]
encoder.backbone.blocks.1.block.13.running_mean	[128]
encoder.backbone.blocks.1.block.13.running_var	[128]
encoder.backbone.blocks.1.block.13.num_batches_tracked	[]
encoder.backbone.blocks.1.block.15.weight	[128, 128, 3, 3]
encoder.backbone.blocks.1.block.16.weight	[128]
encoder.backbone.blocks.1.block.16.bias	[128]
encoder.backbone.blocks.1.block.16.running_mean	[128]
encoder.backbone.blocks.1.block.16.running_var	[128]
encoder.backbone.blocks.1.block.16.num_batches_tracked	[]
encoder.backbone.blocks.2.block.0.weight	[256, 128, 3, 3]
encoder.backbone.blocks.2.block.1.weight	[256]
encoder.backbone.blocks.2.block.1.bias	[256]
encoder.backbone.blocks.2.block.1.running_mean	[256]
encoder.backbone.blocks.2.block.1.running_var	[256]
encoder.backbone.blocks.2.block.1.num_batches_tracked	[]
encoder.backbone.blocks.2.block.3.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.4.weight	[256]
encoder.backbone.blocks.2.block.4.bias	[256]
encoder.backbone.blocks.2.block.4.running_mean	[256]
encoder.backbone.blocks.2.block.4.running_var	[256]
encoder.backbone.blocks.2.block.4.num_batches_tracked	[]
encoder.backbone.blocks.2.block.6.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.7.weight	[256]
encoder.backbone.blocks.2.block.7.bias	[256]
encoder.backbone.blocks.2.block.7.running_mean	[256]
encoder.backbone.blocks.2.block.7.running_var	[256]
encoder.backbone.blocks.2.block.7.num_batches_tracked	[]
encoder.backbone.blocks.2.block.9.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.10.weight	[256]
encoder.backbone.blocks.2.block.10.bias	[256]
encoder.backbone.blocks.2.block.10.running_mean	[256]
encoder.backbone.blocks.2.block.10.running_var	[256]
encoder.backbone.blocks.2.block.10.num_batches_tracked	[]
encoder.backbone.blocks.2.block.12.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.13.weight	[256]
encoder.backbone.blocks.2.block.13.bias	[256]
encoder.backbone.blocks.2.block.13.running_mean	[256]
encoder.backbone.blocks.2.block.13.running_var	[256]
encoder.backbone.blocks.2.block.13.num_batches_tracked	[]
encoder.backbone.blocks.2.block.15.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.16.weight	[256]
encoder.backbone.blocks.2.block.16.bias	[256]
encoder.backbone.blocks.2.block.16.running_mean	[256]
encoder.backbone.blocks.2.block.16.running_var	[256]
encoder.backbone.blocks.2.block.16.num_batches_tracked	[]
encoder.backbone.blocks.2.block.18.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.19.weight	[256]
encoder.backbone.blocks.2.block.19.bias	[256]
encoder.backbone.blocks.2.block.19.running_mean	[256]
encoder.backbone.blocks.2.block.19.running_var	[256]
encoder.backbone.blocks.2.block.19.num_batches_tracked	[]
encoder.backbone.blocks.2.block.21.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.22.weight	[256]
encoder.backbone.blocks.2.block.22.bias	[256]
encoder.backbone.blocks.2.block.22.running_mean	[256]
encoder.backbone.blocks.2.block.22.running_var	[256]
encoder.backbone.blocks.2.block.22.num_batches_tracked	[]
encoder.backbone.blocks.2.block.24.weight	[256, 256, 3, 3]
encoder.backbone.blocks.2.block.25.weight	[256]
encoder.backbone.blocks.2.block.25.bias	[256]
encoder.backbone.blocks.2.block.25.running_mean	[256]
encoder.backbone.blocks.2.block.25.running_var	[256]
encoder.backbone.blocks.2.block.25.num_batches_tracked	[]
encoder.backbone.deconvs.0.0.weight	[128, 64, 1, 1]
encoder.backbone.deconvs.0.1.weight	[128]
encoder.backbone.deconvs.0.1.bias	[128]
encoder.backbone.deconvs.0.1.running_mean	[128]
encoder.backbone.deconvs.0.1.running_var	[128]
encoder.backbone.deconvs.0.1.num_batches_tracked	[]
encoder.backbone.deconvs.1.0.weight	[128, 128, 2, 2]
encoder.backbone.deconvs.1.1.weight	[128]
encoder.backbone.deconvs.1.1.bias	[128]
encoder.backbone.deconvs.1.1.running_mean	[128]
encoder.backbone.deconvs.1.1.running_var	[128]
encoder.backbone.deconvs.1.1.num_batches_tracked	[]
encoder.backbone.deconvs.2.0.weight	[256, 128, 4, 4]
encoder.backbone.deconvs.2.1.weight	[128]
encoder.backbone.deconvs.2.1.bias	[128]
encoder.backbone.deconvs.2.1.running_mean	[128]
encoder.backbone.deconvs.2.1.running_var	[128]
encoder.backbone.deconvs.2.1.num_batches_tracked	[]
encoder.backbone.out.weight	[384, 384, 1, 1]
shrink.conv.0.weight	[256, 384, 3, 3]
shrink.conv.1.weight	[256]
shrink.conv.1.bias	[256]
shrink.conv.1.running_mean	[256]
shrink.conv.1.running_var	[256]
shrink.conv.1.num_batches_tracked	[]
fusion.blocks.0.hmsa.0.relation_att	[4, 8, 32, 32]
fusion.blocks.0.hmsa.0.relation_msg	[4, 8, 32, 32]
fusion.blocks.0.hmsa.0.q_linears.0.weight	[256, 256]
fusion.blocks.0.hmsa.0.q_linears.0.bias	[256]
fusion.blocks.0.hmsa.0.q_linears.1.weight	[256, 256]
fusion.blocks.0.hmsa.0.q_linears.1.bias	[256]
fusion.blocks.0.hmsa.0.k_linears.0.weight	[256, 256]
fusion.blocks.0.hmsa.0.k_linears.0.bias	[256]
fusion.blocks.0.hmsa.0.k_linears.1.weight	[256, 256]
fusion.blocks.0.hmsa.0.k_linears.1.bias	[256]
fusion.blocks.0.hmsa.0.v_linears.0.weight	[256, 256]
fusion.blocks.0.hmsa.0.v_linears.0.bias	[256]
fusion.blocks.0.hmsa.0.v_linears.1.weight	[256, 256]
fusion.blocks.0.hmsa.0.v_linears.1.bias	[256]
fusion.blocks.0.hmsa.0.a_linears.0.weight	[256, 256]
fusion.blocks.0.hmsa.0.a_linears.0.bias	[256]
fusion.blocks.0.hmsa.0.a_linears.1.weight	[256, 256]
fusion.blocks.0.hmsa.0.a_linears.1.bias	[256]
fusion.blocks.0.mswin.0.branches.0.to_qkv.weight	[768, 256]
fusion.blocks.0.mswin.0.branches.0.to_out.0.weight	[256, 256]
fusion.blocks.0.mswin.0.branches.0.to_out.0.bias	[256]
fusion.blocks.0.mswin.0.branches.0.bias.table	[49, 16]
fusion.blocks.0.mswin.0.branches.0.bias.index	[16, 16]
fusion.blocks.0.mswin.0.branches.1.to_qkv.weight	[768, 256]
fusion.blocks.0.mswin.0.branches.1.to_out.0.weight	[256, 256]
fusion.blocks.0.mswin.0.branches.1.to_out.0.bias	[256]
fusion.blocks.0.mswin.0.branches.1.bias.table	[225, 8]
fusion.blocks.0.mswin.0.branches.1.bias.index	[64, 64]
fusion.blocks.0.mswin.0.branches.2.to_qkv.weight	[768, 256]
fusion.blocks.0.mswin.0.branches.2.to_out.0.weight	[256, 256]
fusion.blocks.0.mswin.0.branches.2.to_out.0.bias	[256]
fusion.blocks.0.mswin.0.branches.2.bias.table	[961, 4]
fusion.blocks.0.mswin.0.branches.2.bias.index	[256, 256]
fusion.blocks.0.mswin.0.fuse.fc1.weight	[64, 256]
fusion.blocks.0.mswin.0.fuse.fc1.bias	[64]
fusion.blocks.0.mswin.0.fuse.fc2.weight	[768, 64]
fusion.blocks.0.mswin.0.fuse.fc2.bias	[768]
fusion.blocks.1.hmsa.0.relation_att	[4, 8, 32, 32]
fusion.blocks.1.hmsa.0.relation_msg	[4, 8, 32, 32]
fusion.blocks.1.hmsa.0.q_linears.0.weight	[256, 256]
fusion.blocks.1.hmsa.0.q_linears.0.bias	[256]
fusion.blocks.1.hmsa.0.q_linears.1.weight	[256, 256]
fusion.blocks.1.hmsa.0.q_linears.1.bias	[256]
fusion.blocks.1.hmsa.0.k_linears.0.weight	[256, 256]
fusion.blocks.1.hmsa.0.k_linears.0.bias	[256]
fusion.blocks.1.hmsa.0.k_linears.1.weight	[256, 256]
fusion.blocks.1.hmsa.0.k_linears.1.bias	[256]
fusion.blocks.1.hmsa.0.v_linears.0.weight	[256, 256]
fusion.blocks.1.hmsa.0.v_linears.0.bias	[256]
fusion.blocks.1.hmsa.0.v_linears.1.weight	[256, 256]
fusion.blocks.1.hmsa.0.v_linears.1.bias	[256]
fusion.blocks.1.hmsa.0.a_linears.0.weight	[256, 256]
fusion.blocks.1.hmsa.0.a_linears.0.bias	[256]
fusion.blocks.1.hmsa.0.a_linears.1.weight	[256, 256]
fusion.blocks.1.hmsa.0.a_linears.1.bias	[256]
fusion.blocks.1.mswin.0.branches.0.to_qkv.weight	[768, 256]
fusion.blocks.1.mswin.0.branches.0.to_out.0.weight	[256, 256]
fusion.blocks.1.mswin.0.branches.0.to_out.0.bias	[256]
fusion.blocks.1.mswin.0.branches.0.bias.table	[49, 16]
fusion.blocks.1.mswin.0.branches.0.bias.index	[16, 16]
fusion.blocks.1.mswin.0.branches.1.to_qkv.weight	[768, 256]
fusion.blocks.1.mswin.0.branches.1.to_out.0.weight	[256, 256]
fusion.blocks.1.mswin.0.branches.1.to_out.0.bias	[256]
fusion.blocks.1.mswin.0.branches.1.bias.table	[225, 8]
fusion.blocks.1.mswin.0.branches.1.bias.index	[64, 64]
fusion.blocks.1.mswin.0.branches.2.to_qkv.weight	[768, 256]
fusion.blocks.1.mswin.0.branches.2.to_out.0.weight	[256, 256]
fusion.blocks.1.mswin.0.branches.2.to_out.0.bias	[256]
fusion.blocks.1.mswin.0.branches.2.bias.table	[961, 4]
fusion.blocks.1.mswin.0.branches.2.bias.index	[256, 256]
fusion.blocks.1.mswin.0.fuse.fc1.weight	[64, 256]
fusion.blocks.1.mswin.0.fuse.fc1.bias	[64]
fusion.blocks.1.mswin.0.fuse.fc2.weight	[768, 64]
fusion.blocks.1.mswin.0.fuse.fc2.bias	[768]
fusion.blocks.2.hmsa.0.relation_att	[4, 8, 32, 32]
fusion.blocks.2.hmsa.0.relation_msg	[4, 8, 32, 32]
fusion.blocks.2.hmsa.0.q_linears.0.weight	[256, 256]
fusion.blocks.2.hmsa.0.q_linears.0.bias	[256]
fusion.blocks.2.hmsa.0.q_linears.1.weight	[256, 256]
fusion.blocks.2.hmsa.0.q_linears.1.bias	[256]
fusion.blocks.2.hmsa.0.k_linears.0.weight	[256, 256]
fusion.blocks.2.hmsa.0.k_linears.0.bias	[256]
fusion.blocks.2.hmsa.0.k_linears.1.weight	[256, 256]
fusion.blocks.2.hmsa.0.k_linears.1.bias	[256]
fusion.blocks.2.hmsa.0.v_linears.0.weight	[256, 256]
fusion.blocks.2.hmsa.0.v_linears.0.bias	[256]
