model,dataset,setting,injector,severity_tier,severity_value,severity_unit,seed,clean_ap50,clean_ap70,faulty_ap50,faulty_ap70,delta_ap50,delta_ap70,rel_drop_ap50,rel_drop_ap70,n_injections,n_frames,determinism_floor_ap50,determinism_floor_ap70,extra_metric,job_id,timestamp
cobevt,v2xset,perfect,none,clean,,,1234,0.849198,0.660305,0.849198,0.660305,0.000000,0.000000,0.000000,0.000000,0,2834,6.36e-05,8.01e-05,,557377,2026-08-05T15:13:25
cobevt,v2xset,perfect,pose_error,mild,0.2m/0.2deg,pose_sigma,1234,0.849198,0.660305,0.834587,0.596622,-0.014611,-0.063684,-0.017206,-0.096446,5922,2834,6.36e-05,8.01e-05,mean_abs_dx=0.1602;theory=0.1596,557377,2026-08-05T16:17:38
cobevt,v2xset,perfect,pose_error,moderate,0.4m/0.4deg,pose_sigma,1234,0.849198,0.660305,0.776023,0.463730,-0.073175,-0.196576,-0.086169,-0.297704,5922,2834,6.36e-05,8.01e-05,mean_abs_dx=0.3204;theory=0.3192,557377,2026-08-05T16:40:50
cobevt,v2xset,perfect,pose_error,severe,0.6m/0.6deg,pose_sigma,1234,0.849198,0.660305,0.687279,0.357194,-0.161919,-0.303112,-0.190673,-0.459047,5922,2834,6.36e-05,8.01e-05,mean_abs_dx=0.4806;theory=0.4787,557377,2026-08-05T16:56:30
cobevt,v2xset,perfect,latency,mild,100ms,latency_ms,1234,0.849198,0.660305,0.835558,0.592691,-0.013640,-0.067614,-0.016062,-0.102398,5884,2834,6.36e-05,8.01e-05,mean_delay_frames=1.000;nominal=1,557377,2026-08-05T17:09:30
cobevt,v2xset,perfect,latency,moderate,200ms,latency_ms,1234,0.849198,0.660305,0.732616,0.470333,-0.116582,-0.189973,-0.137285,-0.287704,5884,2834,6.36e-05,8.01e-05,mean_delay_frames=1.994;nominal=2,557377,2026-08-05T17:23:00
cobevt,v2xset,perfect,latency,severe,300ms,latency_ms,1234,0.849198,0.660305,0.602114,0.394381,-0.247084,-0.265924,-0.290961,-0.402729,5884,2834,6.36e-05,8.01e-05,mean_delay_frames=2.981;nominal=3,557377,2026-08-05T17:35:53
cobevt,v2xset,perfect,agent_drop,mild,0.25,drop_frac,1234,0.799082,0.615859,0.786192,0.592161,-0.012890,-0.023697,-0.016131,-0.038479,243,1055,6.36e-05,8.01e-05,"scene_agent_count=2,mean_dropped=0.230,n_scenes=7",557377,2026-08-05T17:47:10
cobevt,v2xset,perfect,agent_drop,mild,0.25,drop_frac,1234,0.874853,0.684509,0.849393,0.657815,-0.025461,-0.026694,-0.029103,-0.038998,372,778,6.36e-05,8.01e-05,"scene_agent_count=3,mean_dropped=0.478,n_scenes=7",557377,2026-08-05T17:47:10
cobevt,v2xset,perfect,agent_drop,mild,0.25,drop_frac,1234,0.852788,0.659476,0.820011,0.626265,-0.032777,-0.033210,-0.038435,-0.050359,500,693,6.36e-05,8.01e-05,"scene_agent_count=4,mean_dropped=0.722,n_scenes=3",557377,2026-08-05T17:47:10
cobevt,v2xset,perfect,agent_drop,mild,0.25,drop_frac,1234,0.879034,0.718234,0.849601,0.672775,-0.029433,-0.045459,-0.033483,-0.063292,313,308,6.36e-05,8.01e-05,"scene_agent_count=5,mean_dropped=1.016,n_scenes=2",557377,2026-08-05T17:47:10
cobevt,v2xset,perfect,agent_drop,moderate,0.50,drop_frac,1234,0.799082,0.615859,0.770487,0.566970,-0.028595,-0.048889,-0.035785,-0.079384,510,1055,6.36e-05,8.01e-05,"scene_agent_count=2,mean_dropped=0.483,n_scenes=7",557377,2026-08-05T17:58:53
